Source;Target;id;Type;label;weight
1;2;1;Undirected;20;20
1;54;2;Undirected;6;6
1;228;3;Undirected;6;6
2;10;4;Undirected;6;6
2;205;5;Undirected;6;6
2;228;6;Undirected;6;6
2;243;7;Undirected;8;8
3;12;8;Undirected;6;6
3;17;9;Undirected;6;6
3;75;10;Undirected;10;10
3;159;11;Undirected;6;6
3;160;12;Undirected;8;8
3;227;13;Undirected;8;8
3;297;14;Undirected;6;6
3;340;15;Undirected;14;14
3;392;16;Undirected;17;17
5;18;17;Undirected;6;6
5;100;18;Undirected;6;6
5;391;19;Undirected;4;4
6;55;20;Undirected;6;6
6;163;21;Undirected;5;5
6;357;22;Undirected;6;6
6;373;23;Undirected;6;6
6;380;24;Undirected;6;6
7;221;25;Undirected;6;6
8;16;26;Undirected;6;6
8;21;27;Undirected;6;6
8;22;28;Undirected;6;6
8;24;29;Undirected;6;6
8;403;30;Undirected;4;4
12;33;31;Undirected;6;6
12;75;32;Undirected;6;6
12;160;33;Undirected;6;6
12;227;34;Undirected;6;6
12;297;35;Undirected;6;6
12;392;36;Undirected;6;6
13;18;37;Undirected;6;6
13;100;38;Undirected;6;6
13;391;39;Undirected;4;4
14;163;40;Undirected;5;5
14;317;41;Undirected;6;6
16;21;42;Undirected;6;6
16;22;43;Undirected;6;6
17;33;44;Undirected;6;6
17;75;45;Undirected;6;6
17;160;46;Undirected;6;6
17;227;47;Undirected;6;6
17;297;48;Undirected;6;6
17;392;49;Undirected;6;6
18;100;50;Undirected;9;9
18;391;51;Undirected;4;4
21;24;52;Undirected;6;6
21;314;53;Undirected;6;6
22;24;54;Undirected;6;6
22;314;55;Undirected;6;6
26;61;56;Undirected;10;10
26;110;57;Undirected;6;6
26;163;58;Undirected;5;5
26;400;59;Undirected;6;6
29;163;60;Undirected;5;5
30;163;61;Undirected;5;5
32;233;62;Undirected;6;6
32;276;63;Undirected;6;6
32;412;64;Undirected;6;6
33;75;65;Undirected;10;10
33;159;66;Undirected;6;6
33;160;67;Undirected;8;8
33;227;68;Undirected;8;8
33;297;69;Undirected;6;6
33;340;70;Undirected;14;14
33;392;71;Undirected;17;17
34;344;72;Undirected;3;3
35;57;73;Undirected;3;3
36;208;74;Undirected;6;6
36;243;75;Undirected;6;6
38;315;76;Undirected;6;6
40;215;77;Undirected;6;6
41;208;78;Undirected;6;6
41;243;79;Undirected;6;6
43;49;80;Undirected;6;6
43;221;81;Undirected;8;8
45;175;82;Undirected;6;6
45;263;83;Undirected;6;6
46;163;84;Undirected;5;5
46;390;85;Undirected;6;6
47;92;86;Undirected;8;8
47;203;87;Undirected;6;6
47;403;88;Undirected;4;4
48;155;89;Undirected;5;5
49;336;90;Undirected;6;6
49;369;91;Undirected;6;6
51;319;92;Undirected;5;5
52;80;93;Undirected;6;6
52;163;94;Undirected;5;5
52;205;95;Undirected;9;9
52;268;96;Undirected;9;9
52;269;97;Undirected;9;9
52;283;98;Undirected;9;9
52;326;99;Undirected;9;9
52;343;100;Undirected;9;9
52;347;101;Undirected;9;9
52;348;102;Undirected;9;9
52;349;103;Undirected;9;9
52;350;104;Undirected;9;9
52;357;105;Undirected;9;9
52;368;106;Undirected;9;9
54;223;107;Undirected;6;6
54;336;108;Undirected;6;6
54;403;109;Undirected;4;4
55;130;110;Undirected;6;6
55;163;111;Undirected;5;5
55;350;112;Undirected;6;6
55;380;113;Undirected;6;6
57;259;114;Undirected;3;3
61;110;115;Undirected;6;6
61;163;116;Undirected;5;5
61;181;117;Undirected;6;6
61;400;118;Undirected;6;6
61;403;119;Undirected;4;4
61;412;120;Undirected;6;6
63;65;121;Undirected;6;6
63;77;122;Undirected;6;6
64;127;123;Undirected;6;6
64;250;124;Undirected;6;6
64;263;125;Undirected;6;6
64;264;126;Undirected;6;6
64;403;127;Undirected;4;4
65;163;128;Undirected;5;5
65;208;129;Undirected;6;6
65;325;130;Undirected;8;8
65;351;131;Undirected;8;8
68;71;132;Undirected;14;14
72;171;133;Undirected;6;6
75;159;134;Undirected;6;6
75;160;135;Undirected;8;8
75;178;136;Undirected;6;6
75;227;137;Undirected;8;8
75;297;138;Undirected;6;6
75;392;139;Undirected;6;6
77;223;140;Undirected;6;6
79;241;141;Undirected;8;8
80;163;142;Undirected;5;5
80;205;143;Undirected;6;6
80;268;144;Undirected;6;6
80;269;145;Undirected;6;6
80;283;146;Undirected;6;6
80;326;147;Undirected;6;6
80;343;148;Undirected;6;6
80;347;149;Undirected;6;6
80;348;150;Undirected;6;6
80;349;151;Undirected;6;6
80;350;152;Undirected;6;6
80;357;153;Undirected;6;6
80;368;154;Undirected;6;6
81;163;155;Undirected;5;5
81;191;156;Undirected;6;6
81;390;157;Undirected;6;6
82;391;158;Undirected;4;4
83;127;159;Undirected;6;6
83;250;160;Undirected;6;6
83;263;161;Undirected;6;6
83;264;162;Undirected;6;6
85;125;163;Undirected;6;6
86;169;164;Undirected;6;6
86;193;165;Undirected;6;6
87;344;166;Undirected;4;4
89;105;167;Undirected;3;3
89;285;168;Undirected;3;3
97;163;169;Undirected;5;5
97;291;170;Undirected;6;6
100;391;171;Undirected;4;4
102;134;172;Undirected;8;8
103;131;173;Undirected;6;6
104;403;174;Undirected;4;4
107;403;175;Undirected;4;4
109;202;176;Undirected;4;4
110;163;177;Undirected;5;5
110;326;178;Undirected;6;6
110;349;179;Undirected;6;6
114;163;180;Undirected;5;5
114;205;181;Undirected;9;9
114;403;182;Undirected;4;4
115;123;183;Undirected;8;8
116;122;184;Undirected;3;3
117;316;185;Undirected;4;4
118;176;186;Undirected;11;11
126;136;187;Undirected;8;8
126;394;188;Undirected;3;3
127;250;189;Undirected;6;6
127;263;190;Undirected;6;6
127;264;191;Undirected;6;6
127;403;192;Undirected;4;4
128;174;193;Undirected;7;7
129;391;194;Undirected;4;4
129;394;195;Undirected;3;3
130;163;196;Undirected;5;5
130;350;197;Undirected;6;6
130;391;198;Undirected;4;4
132;163;199;Undirected;5;5
132;302;200;Undirected;6;6
133;236;201;Undirected;3;3
134;236;202;Undirected;3;3
135;355;203;Undirected;3;3
136;394;204;Undirected;3;3
148;193;205;Undirected;7;7
157;403;206;Undirected;4;4
160;162;207;Undirected;6;6
160;227;208;Undirected;6;6
160;297;209;Undirected;6;6
160;392;210;Undirected;6;6
162;164;211;Undirected;6;6
163;191;212;Undirected;5;5
163;205;213;Undirected;5;5
163;208;214;Undirected;5;5
163;209;215;Undirected;5;5
163;215;216;Undirected;5;5
163;233;217;Undirected;5;5
163;265;218;Undirected;5;5
163;268;219;Undirected;5;5
163;269;220;Undirected;5;5
163;276;221;Undirected;5;5
163;282;222;Undirected;5;5
163;283;223;Undirected;5;5
163;288;224;Undirected;5;5
163;302;225;Undirected;5;5
163;306;226;Undirected;5;5
163;317;227;Undirected;5;5
163;321;228;Undirected;5;5
163;325;229;Undirected;5;5
163;326;230;Undirected;5;5
163;343;231;Undirected;5;5
163;345;232;Undirected;5;5
163;346;233;Undirected;5;5
163;347;234;Undirected;5;5
163;348;235;Undirected;5;5
163;349;236;Undirected;5;5
163;350;237;Undirected;5;5
163;351;238;Undirected;5;5
163;357;239;Undirected;5;5
163;368;240;Undirected;5;5
163;373;241;Undirected;5;5
163;380;242;Undirected;5;5
163;390;243;Undirected;5;5
163;412;244;Undirected;5;5
